Season,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,FTR,B365H,B365D,B365A,mktProb_homeWin,mktProb_Draw,mktProb_awayWin,results,predictions,probability,bet,payout,cum_payout,bankroll,payout_frac,cum_payout_frac,bankroll_frac,payout_kelly,cum_payout_kelly,bankroll_kelly
2017-2018,Brighton,Watford,1.0,0.0,14.0,13.0,H,2.62,3.2,3.0,0.37,0.3,0.32,1,0,0.47,1,-50.0,-629.5,370.5,-26.545529328819175,-495.6349427524357,504.3650572475643,-27.35099888485828,-479.0378297510561,520.9621702489437
2017-2018,Burnley,Tottenham,0.0,3.0,5.0,18.0,A,7.0,4.2,1.55,0.14,0.23,0.63,2,1,0.49,1,-50.0,-679.5,320.5,-25.21825286237822,-520.8531956148139,479.1468043851861,-75.70550753446047,-554.7433372855165,445.25666271448324
2017-2018,Everton,Chelsea,0.0,0.0,5.0,25.0,D,6.0,3.89,1.66,0.16,0.25,0.59,0,2,0.544,0,-0.0,-679.5,320.5,0.0,-520.8531956148139,479.1468043851861,0.0,-554.7433372855165,445.25666271448324
2017-2018,Leicester,Man United,2.0,2.0,11.0,19.0,D,4.5,3.6,1.9,0.22,0.27,0.51,0,1,0.474,1,-50.0,-729.5,270.5,-23.957340219259308,-544.8105358340732,455.1894641659268,-35.60995182270251,-590.3532891082191,409.64671089178074
2017-2018,Man City,Bournemouth,4.0,0.0,14.0,5.0,H,1.12,11.0,23.0,0.87,0.09,0.04,1,1,0.73,0,0.0,-729.5,270.5,0.0,-544.8105358340732,455.1894641659268,0.0,-590.3532891082191,409.64671089178074
2017-2018,Southampton,Huddersfield,1.0,1.0,12.0,10.0,D,1.61,3.89,6.5,0.6,0.25,0.15,0,1,0.42,0,-0.0,-729.5,270.5,0.0,-544.8105358340732,455.1894641659268,0.0,-590.3532891082191,409.64671089178074
2017-2018,Stoke,West Brom,3.0,1.0,9.0,17.0,H,2.29,3.25,3.5,0.42,0.3,0.28,1,1,0.504,1,64.5,-665.0,335.0,29.359720438702283,-515.4508153953709,484.5491846046291,17.98841297588489,-572.3648761323342,427.63512386766564
2017-2018,Swansea,Crystal Palace,1.0,1.0,7.0,13.0,D,3.29,3.2,2.45,0.3,0.3,0.4,0,2,0.402,0,-0.0,-665.0,335.0,0.0,-515.4508153953709,484.5491846046291,0.0,-572.3648761323342,427.63512386766564
2017-2018,West Ham,Newcastle,2.0,3.0,19.0,11.0,A,2.1,3.39,3.89,0.46,0.29,0.25,2,1,0.406,0,-0.0,-665.0,335.0,0.0,-515.4508153953709,484.5491846046291,0.0,-572.3648761323342,427.63512386766564
2017-2018,Bournemouth,West Ham,3.0,3.0,26.0,10.0,D,2.79,3.29,2.75,0.35,0.3,0.35,0,1,0.472,1,-50.0,-715.0,285.0,-24.227459230231457,-539.6782746256024,460.32172537439766,-17.584874639043097,-589.9497507713772,410.05024922862253
