mktProb_homeWin,mktProb_Draw,mktProb_awayWin,eloProb_homeWin,eloProb_awayWin,AttackPowerHome,DefensePowerHome,goalDiffPowerHome,shotDiffPowerHome,formPowerHome,AttackPowerAway,DefensePowerAway,goalDiffPowerAway,shotDiffPowerAway,formPowerAway,Result
0.72,0.2,0.08,0.5517601425009176,0.44823985749908235,0.16455696202531644,0.163265306122449,1.625,1.6122448979591837,0.6666666666666666,0.11764705882352941,0.14516129032258063,0.6666666666666666,0.8225806451612903,0.5,1
0.62,0.24,0.14,0.44009320248670475,0.5599067975132953,0.05882352941176471,0.09615384615384616,1.0,1.6346153846153846,0.4444444444444444,0.17741935483870966,0.09999999999999999,1.375,0.775,0.7222222222222222,1
0.54,0.26,0.2,0.4902024072473985,0.5097975927526015,0.14583333333333334,0.08333333333333334,1.4000000000000001,0.8,0.4444444444444444,0.14814814814814814,0.10447761194029852,1.1428571428571428,0.8059701492537313,0.4444444444444444,1
0.45,0.28,0.28,0.5048207378799772,0.4951792621200229,0.04477611940298508,0.08333333333333334,0.42857142857142855,0.7976190476190476,0.2777777777777778,0.13333333333333333,0.13513513513513514,0.6,0.6081081081081081,0.3333333333333333,0
0.49,0.27,0.24,0.46253789724591476,0.5374621027540852,0.041666666666666664,0.1,0.5,1.2,0.3333333333333333,0.08750000000000001,0.14285714285714285,0.8750000000000001,1.4285714285714286,0.4444444444444444,1
0.33,0.28,0.4,0.4388230928224184,0.5611769071775816,0.10294117647058823,0.12698412698412698,0.8750000000000001,1.0793650793650795,0.3333333333333333,0.13513513513513514,0.05263157894736842,2.5000000000000004,0.9736842105263159,0.6666666666666666,1
0.34,0.28,0.38,0.506009524031013,0.4939904759689871,0.13559322033898302,0.09836065573770493,1.3333333333333333,0.9672131147540984,0.4444444444444444,0.11267605633802816,0.10256410256410256,1.0,0.9102564102564104,0.3888888888888889,2
0.45,0.28,0.28,0.502838438154089,0.4971615618459109,0.125,0.13414634146341464,0.6363636363636365,0.6829268292682927,0.3333333333333333,0.044117647058823525,0.08860759493670887,0.42857142857142855,0.8607594936708861,0.2777777777777778,0
0.2,0.26,0.54,0.4356506608904403,0.5643493391095596,0.08695652173913043,0.10606060606060606,0.5714285714285714,0.696969696969697,0.3888888888888889,0.0617283950617284,0.08928571428571429,1.0,1.4464285714285714,0.4444444444444444,2
0.57,0.26,0.16,0.6408737501537306,0.35912624984626945,0.1639344262295082,0.11320754716981131,1.6666666666666667,1.150943396226415,0.5555555555555556,0.0816326530612245,0.22641509433962262,0.3333333333333333,0.9245283018867924,0.1111111111111111,2
0.4,0.28,0.33,0.4282034389801142,0.5717965610198857,0.08641975308641976,0.15517241379310345,0.7777777777777778,1.396551724137931,0.3888888888888889,0.2181818181818182,0.13953488372093023,2.0,1.2790697674418603,0.6111111111111112,1
0.3,0.28,0.43,0.41462981930136117,0.5853701806986389,0.10294117647058823,0.07246376811594203,1.4000000000000001,0.9855072463768116,0.5,0.234375,0.15217391304347827,2.142857142857143,1.391304347826087,0.7777777777777778,2
0.32,0.27,0.41,0.397725305841331,0.602274694158669,0.11290322580645161,0.08823529411764705,1.1666666666666667,0.9117647058823529,0.4444444444444444,0.15555555555555556,0.18604651162790695,1.7500000000000002,2.093023255813953,0.6666666666666666,2
0.38,0.3,0.33,0.45362226701580216,0.5463777329841979,0.034482758620689655,0.13157894736842107,0.19999999999999998,0.7631578947368421,0.2222222222222222,0.08219178082191782,0.11290322580645161,0.8571428571428571,1.1774193548387095,0.5,1
0.49,0.27,0.24,0.5073960118235926,0.49260398817640744,0.14516129032258063,0.08433734939759037,1.2857142857142856,0.7469879518072289,0.6666666666666666,0.17391304347826086,0.08333333333333334,1.5999999999999999,0.7666666666666667,0.5555555555555556,2
0.35,0.28,0.37,0.48497265186863686,0.5150273481313632,0.12,0.15384615384615385,0.6,0.7692307692307693,0.5,0.125,0.12698412698412698,1.0,1.0158730158730158,0.4444444444444444,2
0.58,0.26,0.16,0.5814869229969774,0.4185130770030227,0.15517241379310345,0.04838709677419355,3.0,0.9354838709677418,0.6666666666666666,0.09722222222222222,0.10126582278481013,0.8750000000000001,0.9113924050632912,0.3888888888888889,1
0.64,0.24,0.12,0.5373980956459212,0.4626019043540788,0.08450704225352113,0.0975609756097561,0.75,0.8658536585365855,0.3888888888888889,0.10638297872340427,0.140625,0.5555555555555556,0.734375,0.5,1
0.39,0.28,0.33,0.5023893128377906,0.49761068716220935,0.05633802816901408,0.06097560975609757,0.7999999999999999,0.8658536585365855,0.3333333333333333,0.10714285714285714,0.1323529411764706,0.6666666666666666,0.8235294117647058,0.2777777777777778,1
0.52,0.28,0.21,0.48500850720096583,0.5149914927990342,0.12068965517241381,0.19230769230769232,0.7000000000000001,1.1153846153846154,0.2777777777777778,0.14545454545454545,0.11475409836065575,1.1428571428571428,0.9016393442622951,0.4444444444444444,2
0.77,0.16,0.07,0.6515336568187367,0.3484663431812634,0.27419354838709675,0.12765957446808512,2.8333333333333335,1.319148936170213,0.8888888888888888,0.056603773584905655,0.11688311688311688,0.3333333333333333,0.6883116883116883,0.3888888888888889,1
0.35,0.28,0.37,0.4642060588595068,0.5357939411404932,0.08955223880597016,0.11290322580645161,0.8571428571428571,1.0806451612903225,0.5,0.07575757575757576,0.125,0.6250000000000001,1.03125,0.3333333333333333,0
0.43,0.28,0.3,0.5183306549754182,0.4816693450245818,0.14754098360655737,0.14035087719298245,1.125,1.0701754385964912,0.4444444444444444,0.1212121212121212,0.12048192771084337,0.7999999999999999,0.7951807228915663,0.5,2
